Country,Sport,Men,Women,Total
Mexico,Swimming,4,2,6
Mexico,Table tennis,1,1,2
Mexico,Taekwondo,1,1,2
Mexico,Triathlon,2,2,4
Mexico,Weightlifting,0,1,1
Mexico,Wrestling,2,0,2
Moldova,Archery,1,1,2
Moldova,Athletics,2,3,5
Moldova,Canoeing,1,2,3
Moldova,Equestrian,0,1,1
Moldova,Judo,3,0,3
Moldova,Shooting,0,1,1
Moldova,Swimming,1,1,2
Moldova,Table tennis,1,0,1
Moldova,Weightlifting,1,0,1
Moldova,Wrestling,4,3,7
Monaco,Athletics,0,1,1
Monaco,Judo,1,0,1
Monaco,Rowing,1,0,1
Monaco,Swimming,1,1,2
Monaco,Table tennis,0,1,1
Mongolia,Archery,1,0,1
Mongolia,Athletics,1,2,3
Mongolia,Boxing,0,2,2
Mongolia,Cycling,1,0,1
Mongolia,Judo,5,5,10
Mongolia,Shooting,2,1,3
Mongolia,Swimming,1,1,2
Mongolia,Weightlifting,0,1,1
Mongolia,Wrestling,3,6,9
Montenegro,Athletics,1,0,1
Montenegro,Boxing,0,1,1
Montenegro,Sailing,1,0,1
Montenegro,Swimming,1,1,2
Montenegro,Tennis,0,1,1
Montenegro,Water polo,13,0,13
Morocco,Athletics,8,5,13
Morocco,Boxing,0,3,3
Morocco,Breaking,1,1,2
Morocco,Canoeing,2,0,2
Morocco,Cycling,2,0,2
Morocco,Equestrian,1,1,2
Morocco,Fencing,1,1,2
Morocco,Football,18,0,18
Morocco,Golf,0,1,1
Morocco,Judo,2,1,3
Morocco,Rowing,0,1,1
Morocco,Shooting,1,0,1
Morocco,Skateboarding,0,1,1
Morocco,Surfing,1,0,1
Morocco,Swimming,1,1,2
Morocco,Taekwondo,0,2,2
Morocco,Triathlon,1,0,1
Morocco,Volleyball,2,0,2
Morocco,Wrestling,1,0,1
Mozambique,Athletics,1,0,1
Mozambique,Boxing,1,1,2
Mozambique,Judo,0,1,1
Mozambique,Sailing,0,1,1
Mozambique,Swimming,1,1,2
Myanmar,Badminton,0,1,1
Myanmar,Swimming,1,0,1
Namibia,Athletics,0,1,1
Namibia,Cycling,1,1,2
Namibia,Swimming,1,0,1
Nauru,Athletics,1,0,1
Nepal,Athletics,0,1,1
Nepal,Badminton,1,0,1
Nepal,Judo,0,1,1
Nepal,Shooting,0,1,1
Nepal,Swimming,1,1,2
Nepal,Table tennis,1,0,1
Netherlands,Archery,1,3,4
Netherlands,Artistic swimming,0,2,2
Netherlands,Athletics,17,23,40
Netherlands,Badminton,1,1,2
Netherlands,Basketball,4,0,4
Netherlands,Boxing,0,1,1
Netherlands,Breaking,2,1,3
Netherlands,Canoeing,1,4,5
Netherlands,Cycling,10,14,24
Netherlands,Diving,0,1,1
Netherlands,Equestrian,4,5,9
Netherlands,Fencing,1,0,1
Netherlands,Field hockey,17,17,34
Netherlands,Golf,0,1,1
Netherlands,Gymnastics,5,5,10
Netherlands,Handball,0,14,14
Netherlands,Judo,5,5,10
Netherlands,Rowing,19,14,33
Netherlands,Sailing,5,6,11
Netherlands,Skateboarding,0,2,2
Netherlands,Swimming,8,12,20
Netherlands,Table tennis,0,1,1
Netherlands,Tennis,4,2,6
Netherlands,Triathlon,2,2,4
Netherlands,Volleyball,4,14,18
Netherlands,Water polo,0,13,13
New Zealand,Artistic swimming,0,2,2
New Zealand,Athletics,8,9,17
New Zealand,Canoeing,5,7,12
New Zealand,Cycling,9,11,20
New Zealand,Diving,0,1,1
New Zealand,Equestrian,2,2,4
New Zealand,Field hockey,16,0,16
New Zealand,Football,18,18,36
New Zealand,Golf,2,1,3
New Zealand,Gymnastics,1,2,3
New Zealand,Judo,0,2,2
New Zealand,Rowing,9,11,20
New Zealand,Rugby sevens,12,12,24
New Zealand,Sailing,6,6,12
New Zealand,Shooting,1,1,2
New Zealand,Sport climbing,1,1,2
New Zealand,Surfing,1,1,2
New Zealand,Swimming,4,5,9
New Zealand,Tennis,0,2,2
New Zealand,Triathlon,2,2,4
New Zealand,Weightlifting,1,0,1
New Zealand,Wrestling,0,1,1
Nicaragua,Athletics,0,1,1
Nicaragua,Judo,0,1,1
Nicaragua,Rowing,0,1,1
Nicaragua,Shooting,0,1,1
Nicaragua,Surfing,0,1,1
Nicaragua,Swimming,1,1,2
Niger,Athletics,0,1,1
Niger,Fencing,1,0,1
Niger,Judo,1,0,1
Niger,Swimming,1,1,2
Niger,Taekwondo,2,0,2
Nigeria,Athletics,18,18,36
Nigeria,Badminton,1,0,1
Nigeria,Basketball,0,12,12
Nigeria,Boxing,2,1,3
Nigeria,Canoeing,0,2,2
Nigeria,Cycling,0,1,1
Nigeria,Football,0,18,18
Nigeria,Swimming,1,1,2
Nigeria,Table tennis,2,2,4
Nigeria,Taekwondo,0,1,1
Nigeria,Weightlifting,0,2,2
Nigeria,Wrestling,1,5,6
North Korea,Athletics,1,0,1
North Korea,Boxing,0,2,2
North Korea,Diving,1,2,3
North Korea,Gymnastics,0,1,1
North Korea,Judo,0,1,1
North Korea,Table tennis,1,2,3
North Korea,Wrestling,1,4,5
North Macedonia,Athletics,1,0,1
North Macedonia,Judo,1,0,1
North Macedonia,Shooting,0,1,1
North Macedonia,Swimming,1,0,1
North Macedonia,Taekwondo,0,1,1
North Macedonia,Wrestling,1,0,1
Norway,Athletics,15,11,26
Norway,Boxing,1,1,2
Norway,Canoeing,0,4,4
Norway,Cycling,3,3,6
Norway,Diving,0,1,1
Norway,Equestrian,0,2,2
Norway,Golf,2,2,4
Norway,Handball,14,15,29
Norway,Rowing,8,2,10
Norway,Sailing,1,4,5
Norway,Shooting,3,3,6
Norway,Swimming,3,0,3
Norway,Taekwondo,1,0,1
Norway,Tennis,1,0,1
Norway,Triathlon,2,2,4
Norway,Volleyball,2,0,2
Norway,Weightlifting,0,1,1
Norway,Wrestling,0,1,1
Oman,Athletics,1,1,2
Oman,Shooting,1,0,1
Oman,Swimming,1,0,1
Pakistan,Athletics,1,0,0
Palau,Athletics,0,1,1
Palau,Swimming,1,1,2
Palestine,Athletics,1,1,2
Palestine,Boxing,1,0,1
Palestine,Judo,1,0,1
Palestine,Shooting,1,0,1
Palestine,Swimming,1,1,2
Palestine,Taekwondo,1,0,1
Panama,Athletics,1,1,2
Panama,Boxing,0,1,1
Panama,Cycling,1,0,1
Panama,Gymnastics,0,1,1
Panama,Judo,0,1,1
Panama,Swimming,1,1,2
Papua New Guinea,Athletics,0,1,1
Papua New Guinea,Boxing,1,0,1
Papua New Guinea,Swimming,1,1,2
Papua New Guinea,Taekwondo,2,0,2
Papua New Guinea,Weightlifting,1,0,1
Paraguay,Athletics,1,1,2
Paraguay,Football,18,0,18
Paraguay,Golf,1,0,1
Paraguay,Judo,0,1,1
Paraguay,Rowing,1,1,2
Paraguay,Swimming,1,1,2
Paraguay,Volleyball,0,2,2
Peru,Athletics,3,6,9
Peru,Badminton,0,1,1
Peru,Fencing,0,1,1
Peru,Judo,1,0,1
Peru,Rowing,0,3,3
Peru,Sailing,1,2,3
Peru,Shooting,1,1,2
Peru,Surfing,2,1,3
Peru,Swimming,1,2,3
Philippines,Athletics,2,1,3
Philippines,Boxing,2,3,5
Philippines,Fencing,0,1,1
Philippines,Golf,0,2,2
Philippines,Gymnastics,1,3,4
Philippines,Judo,0,1,1
Philippines,Rowing,0,1,1
Philippines,Swimming,1,1,2
Philippines,Weightlifting,1,2,3
Poland,Archery,0,1,1
Poland,Athletics,26,33,59
Poland,Basketball,4,0,4
Poland,Boxing,2,3,5
Poland,Canoeing,5,10,15
Poland,Cycling,5,9,14
Poland,Diving,1,0,1
Poland,Equestrian,5,5,10
Poland,Fencing,4,8,12
Poland,Golf,1,0,1
Poland,Judo,2,2,4
Poland,Modern pentathlon,2,2,4
Poland,Rowing,4,2,6
Poland,Sailing,5,5,10
Poland,Shooting,2,5,7
Poland,Sport climbing,0,2,2
Poland,Swimming,13,8,21
Poland,Table tennis,1,4,5
Poland,Tennis,0,4,4
Poland,Triathlon,0,1,1
Poland,Volleyball,14,12,26
Poland,Weightlifting,0,1,1
Poland,Wrestling,3,2,5
Portugal,Athletics,9,13,22
Portugal,Breaking,0,1,1
Portugal,Canoeing,3,1,4
Portugal,Cycling,4,3,7
Portugal,Equestrian,3,2,5
Portugal,Gymnastics,1,1,2
Portugal,Judo,2,5,7
Portugal,Sailing,2,2,4
Portugal,Shooting,0,1,1
Portugal,Skateboarding,2,0,2
Portugal,Surfing,0,2,2
Portugal,Swimming,3,2,5
Portugal,Table tennis,3,2,5
Portugal,Tennis,2,0,2
Portugal,Triathlon,2,2,4
Puerto Rico,Archery,0,1,1
Puerto Rico,Athletics,3,5,8
Puerto Rico,Basketball,12,12,24
Puerto Rico,Boxing,1,1,2
Puerto Rico,Diving,0,1,1
Puerto Rico,Golf,1,0,1
Puerto Rico,Judo,1,1,2
Puerto Rico,Sailing,1,0,1
Puerto Rico,Shooting,0,1,1
Puerto Rico,Skateboarding,1,0,1
Puerto Rico,Swimming,1,1,2
Puerto Rico,Table tennis,2,1,3
Puerto Rico,Wrestling,4,0,4
Refugee Olympic Team,Athletics,6,2,8
Refugee Olympic Team,Badminton,0,1,1
Refugee Olympic Team,Boxing,1,1,2
Refugee Olympic Team,Breaking,0,1,1
Refugee Olympic Team,Canoeing,3,1,4
Refugee Olympic Team,Cycling,1,1,2
Refugee Olympic Team,Judo,3,3,6
Refugee Olympic Team,Shooting,1,1,2
Refugee Olympic Team,Swimming,2,0,2
Refugee Olympic Team,Taekwondo,4,1,5
Refugee Olympic Team,Weightlifting,1,1,2
Refugee Olympic Team,Wrestling,2,0,2
Republic of the Congo,Athletics,0,1,1
Republic of the Congo,Swimming,1,1,2
Republic of the Congo,Table tennis,1,0,1
Romania,Archery,0,1,1
Romania,Athletics,3,9,12
Romania,Boxing,0,1,1
Romania,Canoeing,3,0,3
Romania,Cycling,1,0,1
Romania,Fencing,0,1,1
Romania,Gymnastics,1,6,7
Romania,Judo,1,0,1
Romania,Rowing,22,23,45
Romania,Sailing,0,1,1
Romania,Swimming,2,1,3
Romania,Table tennis,2,3,5
Romania,Tennis,0,4,4
Romania,Triathlon,1,0,1
Romania,Water polo,13,0,13
Romania,Weightlifting,0,2,2
Romania,Wrestling,2,3,5
Rwanda,Athletics,1,1,2
Rwanda,Cycling,1,2,3
Rwanda,Fencing,0,1,1
Rwanda,Swimming,1,1,2
Saint Kitts and Nevis,Athletics,1,1,2
Saint Kitts and Nevis,Swimming,1,0,1
Saint Lucia,Athletics,1,1,2
Saint Lucia,Sailing,1,0,1
Saint Lucia,Swimming,1,0,1
Saint Vincent and the Grenadines,Athletics,1,1,2
Saint Vincent and the Grenadines,Swimming,1,1,2
Samoa,Athletics,1,0,1
Samoa,Boxing,1,0,1
Samoa,Canoeing,1,1,2
Samoa,Judo,1,0,1
Samoa,Rugby sevens,12,0,12
Samoa,Sailing,1,1,2
Samoa,Swimming,1,1,2
Samoa,Weightlifting,1,1,2
Samoa,Wrestling,1,0,1
San Marino,Archery,0,1,1
San Marino,Athletics,0,1,1
San Marino,Shooting,0,1,1
San Marino,Swimming,1,0,1
San Marino,Wrestling,1,0,1
São Tomé and Príncipe,Athletics,0,1,1
São Tomé and Príncipe,Canoeing,0,1,1
São Tomé and Príncipe,Judo,1,0,1
Saudi Arabia,Athletics,2,0,2
Saudi Arabia,Equestrian,3,0,3
Saudi Arabia,Swimming,1,1,2
Saudi Arabia,Taekwondo,0,1,1
Senegal,Athletics,2,1,3
Senegal,Canoeing,1,1,2
Senegal,Fencing,0,1,1
Senegal,Judo,1,0,1
Senegal,Swimming,1,1,2
Senegal,Table tennis,1,0,1
Senegal,Taekwondo,1,0,1
Serbia,Athletics,2,4,6
Serbia,Basketball,16,12,28
Serbia,Boxing,1,2,3
Serbia,Canoeing,4,4,8
Serbia,Cycling,1,1,2
Serbia,Judo,3,3,6
Serbia,Rowing,2,1,3
Serbia,Shooting,2,1,3
Serbia,Swimming,4,1,5
Serbia,Table tennis,0,1,1
Serbia,Taekwondo,2,1,3
Serbia,Tennis,2,0,2
Serbia,Volleyball,12,12,24
Serbia,Water polo,13,0,13
Serbia,Wrestling,5,0,5
Seychelles,Athletics,1,0,1
Seychelles,Swimming,1,1,2
Sierra Leone,Athletics,0,1,1
Sierra Leone,Judo,0,1,1
Sierra Leone,Swimming,1,1,2
Singapore,Athletics,1,1,2
Singapore,Badminton,2,2,4
Singapore,Canoeing,0,1,1
Singapore,Equestrian,0,1,1
Singapore,Fencing,0,2,2
Singapore,Golf,0,1,1
Singapore,Rowing,0,1,1
Singapore,Sailing,2,0,2
Singapore,Shooting,0,1,1
Singapore,Swimming,1,4,5
Singapore,Table tennis,1,2,3
Slovakia,Archery,0,1,1
Slovakia,Athletics,2,4,6
Slovakia,Boxing,0,1,1
Slovakia,Canoeing,2,2,4
Slovakia,Cycling,1,1,2
Slovakia,Judo,1,0,1
Slovakia,Sailing,1,0,1
Slovakia,Shooting,3,3,6
Slovakia,Skateboarding,1,0,1
Slovakia,Swimming,1,1,2
Slovakia,Table tennis,1,0,1
Slovakia,Tennis,0,1,1
Slovakia,Wrestling,1,0,1
Slovenia,Archery,1,1,2
Slovenia,Athletics,2,5,7
Slovenia,Canoeing,2,2,4
Slovenia,Cycling,4,3,7
Slovenia,Golf,0,2,2
Slovenia,Gymnastics,0,2,2
Slovenia,Handball,14,14,28
Slovenia,Judo,1,5,6
Slovenia,Rowing,1,1,2
Slovenia,Sailing,3,3,6
Slovenia,Sport climbing,1,2,3
Slovenia,Swimming,1,4,5
Slovenia,Table tennis,3,0,3
Slovenia,Taekwondo,1,0,1
Slovenia,Volleyball,12,0,12
Solomon Islands,Athletics,0,1,1
Solomon Islands,Swimming,0,1,1
Somalia,Athletics,1,0,1
South Africa,Archery,1,0,1
South Africa,Athletics,27,11,38
South Africa,Badminton,0,1,1
South Africa,Canoeing,2,3,5
South Africa,Cycling,4,4,8
South Africa,Diving,0,1,1
South Africa,Equestrian,1,0,1
South Africa,Fencing,1,0,1
South Africa,Field hockey,16,16,32
South Africa,Golf,2,2,4
South Africa,Gymnastics,0,1,1
South Africa,Judo,0,1,1
South Africa,Rowing,2,1,3
South Africa,Rugby sevens,12,12,24
South Africa,Skateboarding,2,1,3
South Africa,Sport climbing,2,2,4
South Africa,Surfing,2,1,3
South Africa,Swimming,3,5,8
South Africa,Triathlon,2,1,3
South Africa,Wrestling,1,0,1
South Korea,Archery,3,3,6
South Korea,Artistic swimming,0,2,2
South Korea,Athletics,3,0,3
South Korea,Badminton,4,8,12
South Korea,Boxing,0,2,2
South Korea,Breaking,1,0,1
South Korea,Cycling,1,1,2
South Korea,Diving,4,2,6
South Korea,Equestrian,1,0,1
South Korea,Fencing,5,6,11
South Korea,Golf,2,3,5
South Korea,Gymnastics,3,5,8
South Korea,Handball,0,14,14
South Korea,Judo,5,6,11
South Korea,Modern pentathlon,2,2,4
South Korea,Sailing,1,0,1
South Korea,Shooting,6,11,17
South Korea,Sport climbing,2,1,3
South Korea,Swimming,12,3,15
South Korea,Table tennis,3,3,6
South Korea,Taekwondo,2,2,4
South Korea,Weightlifting,3,2,5
South Korea,Wrestling,2,0,2
South Sudan,Athletics,1,1,2
South Sudan,Basketball,12,0,12
Spain,Archery,1,1,2
Spain,Artistic swimming,0,8,8
Spain,Athletics,26,32,58
Spain,Badminton,1,1,2
Spain,Basketball,12,16,28
Spain,Boxing,5,1,6
Spain,Canoeing,12,9,21
Spain,Cycling,7,2,9
Spain,Diving,2,2,4
Spain,Equestrian,8,0,8
Spain,Fencing,1,1,2
Spain,Field hockey,16,16,32
Spain,Football,18,18,36
Spain,Golf,2,2,4
Spain,Gymnastics,6,11,17
Spain,Handball,14,14,28
Spain,Judo,5,4,9
Spain,Modern pentathlon,0,1,1
Spain,Rowing,6,3,9
Spain,Sailing,6,7,13
Spain,Shooting,2,2,4
Spain,Skateboarding,2,4,6
Spain,Sport climbing,1,1,2
Spain,Surfing,1,2,3
Spain,Swimming,9,11,20
Spain,Table tennis,1,1,2
Spain,Taekwondo,2,2,4
Spain,Tennis,6,2,8
Spain,Triathlon,3,2,5
Spain,Volleyball,2,4,6
Spain,Water polo,13,13,26
Sri Lanka,Athletics,1,2,3
Sri Lanka,Badminton,1,0,1
Sri Lanka,Swimming,1,1,2
Sudan,Athletics,1,0,1
Sudan,Rowing,1,0,1
Sudan,Swimming,1,1,2
Suriname,Athletics,1,0,1
Suriname,Badminton,1,0,1
Suriname,Cycling,1,0,1
Suriname,Swimming,1,1,2
Sweden,Athletics,12,9,21
Sweden,Boxing,1,1,2
Sweden,Canoeing,2,3,5
Sweden,Cycling,1,2,3
Sweden,Diving,0,1,1
Sweden,Equestrian,4,5,9
Sweden,Golf,2,2,4
Sweden,Handball,16,15,31
Sweden,Judo,1,1,2
Sweden,Modern pentathlon,0,1,1
Sweden,Sailing,2,6,8
Sweden,Shooting,5,2,7
Sweden,Skateboarding,1,0,1
Sweden,Swimming,5,7,12
Sweden,Table tennis,3,3,6
Sweden,Triathlon,0,1,1
Sweden,Volleyball,2,0,2
Sweden,Wrestling,0,2,2
Switzerland,Athletics,11,20,31
Switzerland,Badminton,1,1,2
Switzerland,Canoeing,1,1,2
Switzerland,Cycling,7,11,18
Switzerland,Equestrian,6,3,9
Switzerland,Fencing,1,1,2
Switzerland,Golf,1,2,3
Switzerland,Gymnastics,5,1,6
Switzerland,Judo,2,1,3
Switzerland,Modern pentathlon,1,1,2
Switzerland,Rowing,12,5,17
Switzerland,Sailing,4,3,7
Switzerland,Shooting,2,4,6
Switzerland,Sport climbing,1,0,1
Switzerland,Swimming,7,1,8
Switzerland,Tennis,1,1,2
Switzerland,Triathlon,2,2,4
Switzerland,Volleyball,0,4,4
Syria,Athletics,0,1,1
Syria,Equestrian,1,0,1
Syria,Gymnastics,1,0,1
Syria,Judo,1,0,1
Syria,Swimming,1,0,1
Syria,Weightlifting,1,0,1
Chinese Taipei,Archery,3,3,6
Chinese Taipei,Athletics,3,1,4
Chinese Taipei,Badminton,4,2,6
Chinese Taipei,Boxing,2,4,6
Chinese Taipei,Breaking,1,0,1
Chinese Taipei,Canoeing,2,1,3
Chinese Taipei,Fencing,1,0,1
Chinese Taipei,Golf,2,2,4
Chinese Taipei,Gymnastics,1,1,2
Chinese Taipei,Judo,1,2,3
Chinese Taipei,Shooting,2,6,8
Chinese Taipei,Swimming,1,1,2
Chinese Taipei,Table Tennis,3,3,6
Chinese Taipei,Taekwondo,0,1,1
Chinese Taipei,Tennis,0,4,4
Chinese Taipei,Weightlifting,0,3,3
Tajikistan,Athletics,1,0,1
Tajikistan,Boxing,2,1,3
Tajikistan,Judo,6,0,6
Tajikistan,Swimming,1,1,2
Tajikistan,Taekwondo,0,1,1
Tajikistan,Wrestling,1,0,1
Tanzania,Athletics,2,2,4
Tanzania,Judo,1,0,1
Tanzania,Swimming,1,1,2
Thailand,Athletics,1,1,2
Thailand,Badminton,4,5,9
Thailand,Boxing,3,5,8
Thailand,Cycling,3,1,4
Thailand,Equestrian,0,1,1
Thailand,Golf,2,2,4
Thailand,Judo,1,0,1
Thailand,Modern pentathlon,1,0,1
Thailand,Rowing,1,0,1
Thailand,Sailing,2,2,4
Thailand,Shooting,1,2,3
Thailand,Skateboarding,0,1,1
Thailand,Swimming,1,1,2
Thailand,Table tennis,0,3,3
Thailand,Taekwondo,1,2,3
Thailand,Weightlifting,2,2,4
Togo,Athletics,0,1,1
Togo,Rowing,0,1,1
Togo,Swimming,1,1,2
Togo,Triathlon,1,0,1
Tonga,Athletics,1,0,1
Tonga,Boxing,0,1,1
Tonga,Swimming,1,1,2
Trinidad and Tobago,Athletics,7,7,14
Trinidad and Tobago,Cycling,2,0,2
Trinidad and Tobago,Swimming,1,1,2
Tunisia,Archery,0,1,1
Tunisia,Athletics,2,1,3
Tunisia,Boxing,0,1,1
Tunisia,Canoeing,2,0,2
Tunisia,Fencing,1,1,2
Tunisia,Judo,0,2,2
Tunisia,Rowing,1,2,3
Tunisia,Shooting,0,1,1
Tunisia,Swimming,1,1,2
Tunisia,Taekwondo,2,2,4
Tunisia,Tennis,1,0,1
Tunisia,Weightlifting,1,0,1
Tunisia,Wrestling,2,2,4
Turkey,Archery,3,1,4
Turkey,Athletics,10,6,16
Turkey,Badminton,0,1,1
Turkey,Boxing,2,5,7
Turkey,Cycling,1,0,1
Turkey,Fencing,1,1,2
Turkey,Gymnastics,5,0,5
Turkey,Judo,5,3,8
Turkey,Modern pentathlon,1,1,2
Turkey,Rowing,0,1,1
Turkey,Sailing,3,5,8
Turkey,Shooting,3,4,7
Turkey,Swimming,4,4,8
Turkey,Table tennis,0,1,1
Turkey,Taekwondo,2,3,5
Turkey,Volleyball,0,13,13
Turkey,Weightlifting,1,0,1
Turkey,Wrestling,6,5,11
Turkmenistan,Athletics,0,1,1
Turkmenistan,Judo,1,1,2
Turkmenistan,Swimming,1,1,2
Turkmenistan,Weightlifting,1,0,1
Tuvalu,Athletics,1,1,2
Uganda,Athletics,9,11,20
Uganda,Cycling,1,0,1
Uganda,Rowing,0,1,1
Uganda,Swimming,1,1,2
Ukraine,Archery,1,1,2
Ukraine,Artistic swimming,0,2,2
Ukraine,Athletics,11,14,25
Ukraine,Badminton,0,1,1
Ukraine,Boxing,3,0,3
Ukraine,Breaking,1,2,3
Ukraine,Canoeing,5,4,9
Ukraine,Cycling,2,2,4
Ukraine,Diving,5,4,9
Ukraine,Fencing,0,7,7
Ukraine,Football,18,0,18
Ukraine,Gymnastics,5,7,12
Ukraine,Judo,2,3,5
Ukraine,Modern pentathlon,2,1,3
Ukraine,Rowing,2,4,6
Ukraine,Shooting,4,2,6
Ukraine,Sport climbing,1,1,2
Ukraine,Swimming,4,1,5
Ukraine,Table tennis,1,2,3
Ukraine,Tennis,0,5,5
Ukraine,Weightlifting,0,1,1
Ukraine,Wrestling,5,4,9
United Arab Emirates,Athletics,0,1,1
United Arab Emirates,Cycling,0,1,1
United Arab Emirates,Equestrian,3,0,3
United Arab Emirates,Judo,5,1,6
United Arab Emirates,Swimming,1,1,2
United States,Archery,1,3,4
United States,Artistic swimming,0,8,8
United States,Athletics,59,61,120
United States,Badminton,3,4,7
United States,Basketball,16,16,32
United States,Boxing,4,4,8
United States,Breaking,2,2,4
United States,Canoeing,3,2,5
United States,Cycling,10,13,23
United States,Diving,5,6,11
United States,Equestrian,6,3,9
United States,Fencing,6,9,15
United States,Field hockey,0,16,16
United States,Football,18,18,36
United States,Golf,4,3,7
United States,Gymnastics,6,7,12
United States,Judo,2,2,4
United States,Modern pentathlon,0,1,1
United States,Rowing,18,24,42
United States,Rugby sevens,12,12,24
United States,Sailing,6,7,13
United States,Shooting,7,9,16
United States,Skateboarding,6,6,12
United States,Sport climbing,4,4,8
United States,Surfing,2,3,5
United States,Swimming,27,21,48
United States,Table tennis,1,3,4
United States,Taekwondo,2,2,4
United States,Tennis,6,5,11
United States,Triathlon,2,3,5
United States,Volleyball,16,16,32
United States,Water polo,12,12,24
United States,Weightlifting,2,3,5
United States,Wrestling,10,6,16
Uruguay,Athletics,2,1,3
Uruguay,Canoeing,1,0,1
Uruguay,Cycling,1,0,1
Uruguay,Judo,1,0,1
Uruguay,Rowing,1,0,1
Uruguay,Rugby sevens,12,0,12
Uruguay,Sailing,2,1,3
Uruguay,Swimming,1,1,2
Uruguay,Taekwondo,0,1,1
Uzbekistan,Archery,1,1,2
Uzbekistan,Athletics,2,3,5
Uzbekistan,Boxing,7,4,11
Uzbekistan,Canoeing,1,2,3
Uzbekistan,Cycling,1,2,3
Uzbekistan,Diving,1,0,1
Uzbekistan,Fencing,0,1,1
Uzbekistan,Football,18,0,18
Uzbekistan,Gymnastics,3,6,9
Uzbekistan,Judo,7,5,12
Uzbekistan,Modern pentathlon,0,1,1
Uzbekistan,Rowing,2,1,3
Uzbekistan,Swimming,1,1,2
Uzbekistan,Taekwondo,3,2,5
Uzbekistan,Weightlifting,1,2,3
Uzbekistan,Wrestling,6,1,7
Vanuatu,Athletics,0,1,1
Vanuatu,Judo,1,0,1
Vanuatu,Swimming,1,1,2
Vanuatu,Table tennis,0,1,1
Vanuatu,Weightlifting,0,1,1
Venezuela,Athletics,2,4,6
Venezuela,Boxing,1,1,2
Venezuela,Cycling,1,0,1
Venezuela,Equestrian,1,1,2
Venezuela,Fencing,4,1,5
Venezuela,Judo,0,1,1
Venezuela,Shooting,2,0,2
Venezuela,Swimming,2,1,3
Venezuela,Taekwondo,1,0,1
Venezuela,Weightlifting,2,3,5
Venezuela,Wrestling,2,3,5
Vietnam,Archery,1,1,2
Vietnam,Athletics,0,1,1
Vietnam,Badminton,1,1,2
Vietnam,Boxing,0,2,2
Vietnam,Canoeing,0,1,1
Vietnam,Cycling,0,1,1
Vietnam,Judo,0,1,1
Vietnam,Rowing,0,1,1
Vietnam,Shooting,0,2,2
Vietnam,Swimming,1,1,2
Vietnam,Weightlifting,1,0,1
Virgin Islands,Archery,1,0,1
Virgin Islands,Athletics,1,0,1
Virgin Islands,Fencing,1,0,1
Virgin Islands,Swimming,1,1,2
Yemen,Athletics,1,0,1
Yemen,Judo,1,0,1
Yemen,Shooting,0,1,1
Yemen,Swimming,1,0,1
Zambia,Athletics,4,0,4
Zambia,Boxing,1,1,2
Zambia,Football,0,18,18
Zambia,Judo,1,0,1
Zambia,Swimming,1,1,2
Zimbabwe,Athletics,3,1,4
Zimbabwe,Rowing,1,0,1
Zimbabwe,Swimming,1,1,2
